# Region type : patch inlet
# Faces         : 30
# Area          : 2.97167293e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
4.88681e-05     	-3.95139905e-04
4.92115e-05     	-3.95139905e-04
4.95535e-05     	-3.95139904e-04
4.98946e-05     	-3.95139904e-04
5.02342e-05     	-3.95139903e-04
5.05731e-05     	-3.95139903e-04
5.09111e-05     	-3.95139902e-04
5.12477e-05     	-3.95139902e-04
5.15835e-05     	-3.95139901e-04
5.19192e-05     	-3.95139901e-04
5.22543e-05     	-3.95139901e-04
5.25885e-05     	-3.95139900e-04
5.29228e-05     	-3.95139900e-04
5.32563e-05     	-3.95139899e-04
5.35898e-05     	-3.95139899e-04
5.39233e-05     	-3.95139899e-04
5.42568e-05     	-3.95139898e-04
5.45903e-05     	-3.95139898e-04
5.49238e-05     	-3.95139898e-04
5.52581e-05     	-3.95139898e-04
5.55924e-05     	-3.95139897e-04
5.59275e-05     	-3.95139897e-04
5.62625e-05     	-3.95139897e-04
5.65983e-05     	-3.95139896e-04
5.6935e-05      	-3.95139896e-04
5.72724e-05     	-3.95139896e-04
5.76106e-05     	-3.95139896e-04
5.79504e-05     	-3.95139895e-04
5.82911e-05     	-3.95139895e-04
5.86325e-05     	-3.95139895e-04
5.89757e-05     	-3.95139895e-04
5.93205e-05     	-3.95139895e-04
5.9667e-05      	-3.95139894e-04
6.00152e-05     	-3.95139894e-04
6.03652e-05     	-3.95139894e-04
6.07178e-05     	-3.95139894e-04
6.10722e-05     	-3.95139894e-04
6.14284e-05     	-3.95139893e-04
6.17874e-05     	-3.95139893e-04
6.21492e-05     	-3.95139893e-04
6.25139e-05     	-3.95139893e-04
6.28815e-05     	-3.95139893e-04
6.32531e-05     	-3.95139893e-04
6.36277e-05     	-3.95139893e-04
6.40066e-05     	-3.95139892e-04
6.43896e-05     	-3.95139892e-04
6.4776e-05      	-3.95139892e-04
6.51668e-05     	-3.95139892e-04
6.55622e-05     	-3.95139892e-04
6.596e-05       	-3.95139892e-04
6.63542e-05     	-3.95139891e-04
6.6745e-05      	-3.95139891e-04
6.71335e-05     	-3.95139891e-04
6.75186e-05     	-3.95139891e-04
6.79015e-05     	-3.95139891e-04
6.82822e-05     	-3.95139891e-04
