# Jet Force Analysis - OpenFOAM Post-Processing
# Wedge factor: 72
# Fuel density: 1000 kg/m3
# Air density: 20 kg/m3
# Inlet area (full): 2.1396e-06 m2
#
# Time(s)  MassFlow(kg/s)  MomentumFlux_x(N)  PressureForce_x(N)  TotalForce_x(N)
7.19424e-07  -0.387395  -72.959  -1.91859  -74.8776
8.49673e-07  -0.387395  -72.9589  0.499919  -72.459
9.9451e-07  -0.387395  -72.9589  0.335749  -72.6232
1.15448e-06  -0.387395  -72.9589  0.183886  -72.7751
1.32664e-06  -0.387395  -72.9589  0.0789901  -72.88
1.50925e-06  -0.387395  -72.959  0.0140649  -72.9449
1.70066e-06  -0.387395  -72.959  -0.0229721  -72.9819
1.89975e-06  -0.387395  -72.959  -0.0481818  -73.0072
2.10546e-06  -0.387395  -72.959  -0.0676667  -73.0267
2.31689e-06  -0.387396  -72.9591  -0.0827153  -73.0418
2.53365e-06  -0.387396  -72.9591  -0.0943744  -73.0535
2.75502e-06  -0.387396  -72.9591  -0.103364  -73.0625
2.98096e-06  -0.387396  -72.9591  -0.110229  -73.0693
3.21085e-06  -0.387396  -72.9591  -0.115368  -73.0745
3.44429e-06  -0.387396  -72.9591  -0.119241  -73.0784
3.68139e-06  -0.387396  -72.9591  -0.12221  -73.0813
3.92169e-06  -0.387396  -72.9591  -0.123442  -73.0826
4.16496e-06  -0.387396  -72.9592  -0.124755  -73.0839
4.41129e-06  -0.387396  -72.9592  -0.125276  -73.0845
4.66045e-06  -0.387396  -72.9592  -0.123786  -73.083
4.9125e-06  -0.387397  -72.9592  -0.121536  -73.0807
5.16752e-06  -0.387397  -72.9593  -0.120523  -73.0798
5.42557e-06  -0.387397  -72.9593  -0.115789  -73.0751
5.68675e-06  -0.387397  -72.9593  -0.112351  -73.0717
5.95076e-06  -0.387397  -72.9593  -0.10775  -73.0671
6.21804e-06  -0.387397  -72.9593  -0.103515  -73.0628
6.48869e-06  -0.387397  -72.9593  -0.100451  -73.0597
6.76317e-06  -0.387397  -72.9593  -0.0962867  -73.0556
7.04121e-06  -0.387397  -72.9593  -0.0883991  -73.0477
7.32373e-06  -0.387397  -72.9593  -0.0807764  -73.0401
7.60666e-06  -0.387398  -72.9594  -0.0714215  -73.0308
7.88876e-06  -0.387398  -72.9594  -0.0616048  -73.021
8.16963e-06  -0.387398  -72.9594  -0.0515953  -73.011
8.44967e-06  -0.387397  -72.9593  -0.0452008  -73.0045
8.7289e-06  -0.387397  -72.9593  -0.03762  -72.9969
9.00731e-06  -0.387397  -72.9593  -0.0255295  -72.9848
9.28492e-06  -0.387397  -72.9593  -0.0175722  -72.9768
9.56172e-06  -0.387397  -72.9593  -0.00648771  -72.9657
9.83812e-06  -0.387397  -72.9593  -0.000902876  -72.9602
1.01137e-05  -0.387397  -72.9593  0.00475714  -72.9546
1.03889e-05  -0.387397  -72.9594  0.0120902  -72.9473
1.06637e-05  -0.387397  -72.9594  0.0251963  -72.9342
1.09377e-05  -0.387397  -72.9594  0.038784  -72.9206
1.12113e-05  -0.387397  -72.9593  0.0427455  -72.9166
1.14845e-05  -0.387397  -72.9593  0.0506203  -72.9087
1.17577e-05  -0.387397  -72.9593  0.0602563  -72.899
1.20306e-05  -0.387397  -72.9592  0.0657717  -72.8935
1.2303e-05  -0.387397  -72.9592  0.071879  -72.8874
1.2575e-05  -0.387397  -72.9592  0.0748072  -72.8844
1.2847e-05  -0.387397  -72.9592  0.0794591  -72.8798
1.31187e-05  -0.387397  -72.9592  0.0797331  -72.8795
1.33903e-05  -0.387397  -72.9592  0.0833341  -72.8759
1.36619e-05  -0.387397  -72.9592  0.086261  -72.873
1.39335e-05  -0.387397  -72.9592  0.0949796  -72.8643
1.42052e-05  -0.387397  -72.9592  0.0946321  -72.8646
1.44768e-05  -0.387397  -72.9592  0.0967918  -72.8624
1.47484e-05  -0.387397  -72.9592  0.0936104  -72.8656
1.50201e-05  -0.387397  -72.9592  0.0989596  -72.8603
1.52921e-05  -0.387397  -72.9592  0.101232  -72.858
1.55641e-05  -0.387397  -72.9592  0.119478  -72.8397
1.58366e-05  -0.387397  -72.9592  0.118138  -72.8411
1.6109e-05  -0.387397  -72.9592  0.116856  -72.8423
1.63818e-05  -0.387396  -72.9592  0.1154  -72.8438
1.66551e-05  -0.387396  -72.9592  0.113082  -72.8461
1.69287e-05  -0.387396  -72.9592  0.112714  -72.8464
1.72028e-05  -0.387396  -72.9591  0.107818  -72.8513
1.74772e-05  -0.387396  -72.9591  0.107069  -72.8521
1.77521e-05  -0.387396  -72.9591  0.10248  -72.8566
1.80274e-05  -0.387396  -72.9591  0.0999499  -72.8591
1.83036e-05  -0.387396  -72.9591  0.0950949  -72.864
