# Region type : patch inlet
# Faces         : 30
# Area          : 1.06980230e-08
# Scale factor  : 7.20000000e+01
# Time          	sum(phi)
0.000151078     	-1.07002487e-04
0.000152098     	-1.07002487e-04
0.000153117     	-1.07002487e-04
0.000154114     	-1.07002487e-04
0.000155112     	-1.07002487e-04
0.000156109     	-1.07002487e-04
0.000157107     	-1.07002487e-04
0.000158104     	-1.07002487e-04
0.000159102     	-1.07002487e-04
0.000160099     	-1.07002487e-04
0.000161097     	-1.07002487e-04
0.000162094     	-1.07002487e-04
0.000163092     	-1.07002487e-04
0.000164089     	-1.07002487e-04
0.000165087     	-1.07002487e-04
0.000166114     	-1.07002487e-04
0.000167141     	-1.07002487e-04
0.000168168     	-1.07002487e-04
0.000169229     	-1.07002487e-04
0.00017029      	-1.07002487e-04
0.00017139      	-1.07002487e-04
0.00017249      	-1.07002487e-04
0.000173637     	-1.07002487e-04
0.000174783     	-1.07002487e-04
0.000175879     	-1.07002487e-04
0.000176976     	-1.07002487e-04
0.000178072     	-1.07002487e-04
0.000179116     	-1.07002487e-04
0.00018016      	-1.07002487e-04
0.000181205     	-1.07002487e-04
0.000182249     	-1.07002487e-04
0.000183293     	-1.07002487e-04
0.000184276     	-1.07002487e-04
0.000185259     	-1.07002487e-04
0.000186241     	-1.07002487e-04
0.000187224     	-1.07002487e-04
0.000188207     	-1.07002487e-04
0.00018919      	-1.07002487e-04
0.000190172     	-1.07002487e-04
0.000191155     	-1.07002487e-04
0.000192138     	-1.07002486e-04
0.000193121     	-1.07002486e-04
0.000194103     	-1.07002486e-04
0.000195086     	-1.07002486e-04
0.000196069     	-1.07002486e-04
0.000197052     	-1.07002486e-04
0.000198034     	-1.07002486e-04
0.000199017     	-1.07002486e-04
0.0002          	-1.07002486e-04
0.000201093     	-1.07002486e-04
0.00020221      	-1.07002486e-04
0.000203347     	-1.07002486e-04
0.00020449      	-1.07002486e-04
0.000205614     	-1.07002486e-04
0.000206718     	-1.07002486e-04
0.00020781      	-1.07002486e-04
0.00020889      	-1.07002486e-04
0.000209958     	-1.07002486e-04
0.00021102      	-1.07002486e-04
0.000212075     	-1.07002486e-04
0.000213125     	-1.07002486e-04
0.000214169     	-1.07002486e-04
0.000215207     	-1.07002486e-04
0.000216245     	-1.07002486e-04
0.000217284     	-1.07002486e-04
0.000218322     	-1.07002486e-04
0.00021936      	-1.07002486e-04
0.000220398     	-1.07002486e-04
0.000221442     	-1.07002486e-04
0.000222493     	-1.07002486e-04
0.000223549     	-1.07002486e-04
0.000224619     	-1.07002486e-04
0.000225701     	-1.07002486e-04
0.000226797     	-1.07002486e-04
0.000227908     	-1.07002486e-04
0.000229033     	-1.07002486e-04
0.000230172     	-1.07002486e-04
0.000231336     	-1.07002486e-04
0.000232523     	-1.07002486e-04
0.000233703     	-1.07002486e-04
0.000234858     	-1.07002486e-04
0.000235996     	-1.07002486e-04
0.00023712      	-1.07002486e-04
0.000238228     	-1.07002486e-04
0.000239321     	-1.07002486e-04
0.000240407     	-1.07002486e-04
0.000241485     	-1.07002486e-04
0.000242556     	-1.07002486e-04
0.000243627     	-1.07002486e-04
0.000244691     	-1.07002486e-04
0.000245754     	-1.07002486e-04
0.000246818     	-1.07002486e-04
0.000247889     	-1.07002486e-04
0.000248961     	-1.07002486e-04
0.000250039     	-1.07002487e-04
0.000251118     	-1.07002487e-04
0.000252205     	-1.07002487e-04
0.0002533       	-1.07002487e-04
0.000254411     	-1.07002487e-04
0.00025554      	-1.07002487e-04
0.000256677     	-1.07002487e-04
0.000257843     	-1.07002487e-04
0.000259027     	-1.07002487e-04
0.000260232     	-1.07002487e-04
0.000261469     	-1.07002487e-04
0.000262695     	-1.07002487e-04
0.000263899     	-1.07002487e-04
0.000265093     	-1.07002487e-04
0.000266266     	-1.07002487e-04
0.000267429     	-1.07002487e-04
0.000268582     	-1.07002487e-04
0.000269725     	-1.07002487e-04
